Zip Code,Name,Region,Locality
1000,Manila CPO - Ermita,METRO MANILA,MANILA
1001,Quiapo,METRO MANILA,MANILA
1002,Intramuros,METRO MANILA,MANILA
1003,Sta Cruz South,METRO MANILA,MANILA
1004,Malate,METRO MANILA,MANILA
1005,San Miguel,METRO MANILA,MANILA
1006,Binondo,METRO MANILA,MANILA
1007,Paco,METRO MANILA,MANILA
1008,Sampaloc East,METRO MANILA,MANILA
1009,Sta. Ana,METRO MANILA,MANILA
1010,San Nicolas,METRO MANILA,MANILA
1011,Pandacan,METRO MANILA,MANILA
1012,Tondo South,METRO MANILA,MANILA
1013,Tondo North,METRO MANILA,MANILA
1014,Sta Cruz North,METRO MANILA,MANILA
1015,Sampaloc West,METRO MANILA,MANILA
1016,Sta Mesa,METRO MANILA,MANILA
1017,San Andres Bukid,METRO MANILA,MANILA
1018,Port Area (South),METRO MANILA,MANILA
1100,Central,METRO MANILA,QUEZON CITY
1100,Piñahan,METRO MANILA,QUEZON CITY
1100,Project 6,METRO MANILA,QUEZON CITY
1100,Quezon City CPO,METRO MANILA,QUEZON CITY
1101,Botocan,METRO MANILA,QUEZON CITY
1101,Diliman,METRO MANILA,QUEZON CITY
1101,Krus Na Ligas,METRO MANILA,QUEZON CITY
1101,Malaya,METRO MANILA,QUEZON CITY
1101,Old Capitol Site,METRO MANILA,QUEZON CITY
1101,San Vicente,METRO MANILA,QUEZON CITY
1101,Sikatuna Village,METRO MANILA,QUEZON CITY
1101,Teachers Village,METRO MANILA,QUEZON CITY
1101,Univ. of the Phils. PO,METRO MANILA,QUEZON CITY
1101,UP Village,METRO MANILA,QUEZON CITY
1102,Amihan,METRO MANILA,QUEZON CITY
1102,Claro,METRO MANILA,QUEZON CITY
1102,Duyan-duyan,METRO MANILA,QUEZON CITY
1102,E. Rodriguez,METRO MANILA,QUEZON CITY
1102,Kamias,METRO MANILA,QUEZON CITY
1102,Quirino Dist. (Proj. 2 & 3),METRO MANILA,QUEZON CITY
1102,Silangan,METRO MANILA,QUEZON CITY
1103,Kamuning,METRO MANILA,QUEZON CITY
1103,Langing Handa,METRO MANILA,QUEZON CITY
1103,Obrero,METRO MANILA,QUEZON CITY
1103,Paligsahan,METRO MANILA,QUEZON CITY
1103,Roxas District,METRO MANILA,QUEZON CITY
1103,Sacred Heart,METRO MANILA,QUEZON CITY
1103,South Triangle,METRO MANILA,QUEZON CITY
1104,Damayan,METRO MANILA,QUEZON CITY
1104,Mariblo,METRO MANILA,QUEZON CITY
1104,Nayon Kaunlaran,METRO MANILA,QUEZON CITY
1104,Paraiso,METRO MANILA,QUEZON CITY
1104,Phil-am,METRO MANILA,QUEZON CITY
1104,Santa Cruz,METRO MANILA,QUEZON CITY
1104,Talayan,METRO MANILA,QUEZON CITY
1105,Alicia,METRO MANILA,QUEZON CITY
1105,Bagong Pag-asa,METRO MANILA,QUEZON CITY
1105,Bungad,METRO MANILA,QUEZON CITY
1105,Del Monte,METRO MANILA,QUEZON CITY
1105,Katipunan,METRO MANILA,QUEZON CITY
1105,Paltok,METRO MANILA,QUEZON CITY
1105,Project 7,METRO MANILA,QUEZON CITY
1105,R. Magsaysay,METRO MANILA,QUEZON CITY
1105,San Antonio,METRO MANILA,QUEZON CITY
1105,Santo Cristo,METRO MANILA,QUEZON CITY
1105,Veterans Village,METRO MANILA,QUEZON CITY
1106,Apolonio Samson,METRO MANILA,QUEZON CITY
1106,Baesa,METRO MANILA,QUEZON CITY
1106,Bahay Toro,METRO MANILA,QUEZON CITY
1106,Balintawak,METRO MANILA,QUEZON CITY
1106,Balumbato,METRO MANILA,QUEZON CITY
1106,Project 8,METRO MANILA,QUEZON CITY
1106,Salumbato,METRO MANILA,QUEZON CITY
1106,Unang Sigaw,METRO MANILA,QUEZON CITY
1107,New Era,METRO MANILA,QUEZON CITY
1107,Pasong Tamo,METRO MANILA,QUEZON CITY
1108,Loyola Heights,METRO MANILA,QUEZON CITY
1108,Pansol,METRO MANILA,QUEZON CITY
1109,Bagong Buhay,METRO MANILA,QUEZON CITY
1109,Bayanihan,METRO MANILA,QUEZON CITY
1109,Blue Ridge,METRO MANILA,QUEZON CITY
1109,Cubao,METRO MANILA,QUEZON CITY
1109,Dioquino Zobel,METRO MANILA,QUEZON CITY
1109,Escopa,METRO MANILA,QUEZON CITY
1109,Mangga,METRO MANILA,QUEZON CITY
1109,Marilag,METRO MANILA,QUEZON CITY
1109,Masagana,METRO MANILA,QUEZON CITY
1109,Milagrosa,METRO MANILA,QUEZON CITY
1109,Project 4,METRO MANILA,QUEZON CITY
1109,San Roque,METRO MANILA,QUEZON CITY
1109,Socorro,METRO MANILA,QUEZON CITY
1109,Tagumpay,METRO MANILA,QUEZON CITY
1109,Villa Maria Clara,METRO MANILA,QUEZON CITY
1110,Bagong Bayan,METRO MANILA,QUEZON CITY
1110,Camp Aguinaldo,METRO MANILA,QUEZON CITY
1110,Libis,METRO MANILA,QUEZON CITY
1110,St. Ignatius,METRO MANILA,QUEZON CITY
1110,Talampas,METRO MANILA,QUEZON CITY
1110,Ugong Norte,METRO MANILA,QUEZON CITY
1111,Bagong Lipunan,METRO MANILA,QUEZON CITY
1111,Crame,METRO MANILA,QUEZON CITY
1111,Immaculate Concepcion,METRO MANILA,QUEZON CITY
1111,Kaunlaran,METRO MANILA,QUEZON CITY
1111,Pinagkaisahan,METRO MANILA,QUEZON CITY
1111,St. Martin De Porres,METRO MANILA,QUEZON CITY
1112,Damayan Lagi,METRO MANILA,QUEZON CITY
1112,Horseshoe,METRO MANILA,QUEZON CITY
1112,Kalusugan,METRO MANILA,QUEZON CITY
1112,Kristong Hari,METRO MANILA,QUEZON CITY
1112,Mariana,METRO MANILA,QUEZON CITY
1112,Valencia,METRO MANILA,QUEZON CITY
1113,Doña Imelda,METRO MANILA,QUEZON CITY
1113,Don Manuel,METRO MANILA,QUEZON CITY
1113,Doña Aurora,METRO MANILA,QUEZON CITY
1113,Doña Josefa,METRO MANILA,QUEZON CITY
1113,San Isidro,METRO MANILA,QUEZON CITY
1113,Santol,METRO MANILA,QUEZON CITY
1113,Santo Nino,METRO MANILA,QUEZON CITY
1113,Tatalon,METRO MANILA,QUEZON CITY
1114,Gintong Silahis,METRO MANILA,QUEZON CITY
1114,La Loma,METRO MANILA,QUEZON CITY
1114,Lourdes,METRO MANILA,QUEZON CITY
1114,Maharlika,METRO MANILA,QUEZON CITY
1114,Matalahib,METRO MANILA,QUEZON CITY
1114,Paang Bundok,METRO MANILA,QUEZON CITY
1114,Salvacion,METRO MANILA,QUEZON CITY
1114,San Isidro Labrador,METRO MANILA,QUEZON CITY
1114,Santa Teresita,METRO MANILA,QUEZON CITY
1114,Sienna,METRO MANILA,QUEZON CITY
1114,St. Peter,METRO MANILA,QUEZON CITY
1115,Balingasa,METRO MANILA,QUEZON CITY
1115,Damar,METRO MANILA,QUEZON CITY
1115,Manresa,METRO MANILA,QUEZON CITY
1115,Masambong,METRO MANILA,QUEZON CITY
1115,Pag-ibig Sa Nayon,METRO MANILA,QUEZON CITY
1115,San Jose,METRO MANILA,QUEZON CITY
1116,Bagbag,METRO MANILA,QUEZON CITY
1116,San Bartolome,METRO MANILA,QUEZON CITY
1116,Sangandaan,METRO MANILA,QUEZON CITY
1116,Sauyo,METRO MANILA,QUEZON CITY
1116,Talipapa,METRO MANILA,QUEZON CITY
1116,Tandang Sora,METRO MANILA,QUEZON CITY
1117,Capri,METRO MANILA,QUEZON CITY
1117,Gulod,METRO MANILA,QUEZON CITY
1117,San Agustin,METRO MANILA,QUEZON CITY
1117,Santa Lucia,METRO MANILA,QUEZON CITY
1117,Santa Monica,METRO MANILA,QUEZON CITY
1118,Fairview,METRO MANILA,QUEZON CITY
1118,Pasong Putik,METRO MANILA,QUEZON CITY
1119,Bagong Silangan,METRO MANILA,QUEZON CITY
1119,Matandang Balara,METRO MANILA,QUEZON CITY
1119,Payatas,METRO MANILA,QUEZON CITY
1120,BF Homes,METRO MANILA,QUEZON CITY
1121,Commonwealth,METRO MANILA,QUEZON CITY
1121,Fairview North,METRO MANILA,QUEZON CITY
1121,Novaliches Proper,METRO MANILA,QUEZON CITY
1122,Fairview South,METRO MANILA,QUEZON CITY
1123,Damong Maliit,METRO MANILA,QUEZON CITY
1124,Kaligayahan,METRO MANILA,QUEZON CITY
1125,Doña Faustina Subd,METRO MANILA,QUEZON CITY
1125,Nagkaisang Nayon,METRO MANILA,QUEZON CITY
1126,Batasan Hills,METRO MANILA,QUEZON CITY
1126,Capitol Hills/Park,METRO MANILA,QUEZON CITY
1127,Holy Spirit,METRO MANILA,QUEZON CITY
1128,Culiat,METRO MANILA,QUEZON CITY
1128,Vasra,METRO MANILA,QUEZON CITY
1200,Makati CPO (Inc. Buendia Up To Edsa),METRO MANILA,MAKATI CITY
1201,Fort Bonifacio (Camp),METRO MANILA,MAKATI CITY
1202,Fort Bonifacio Naval Stn.,METRO MANILA,MAKATI CITY
1203,San Antonio Village (Inc. Malugay-Yakal),METRO MANILA,MAKATI CITY
1204,La Paz-Singkamas-Tejeros,METRO MANILA,MAKATI CITY
1205,Sta. Cruz,METRO MANILA,MAKATI CITY
1206,Kasilawan,METRO MANILA,MAKATI CITY
1207,Olympia And Carmona,METRO MANILA,MAKATI CITY
1208,"Valenzuela (Inc. Santiago, San Miguel & Rizal Vill.)",METRO MANILA,MAKATI CITY
1209,Bel-air,METRO MANILA,MAKATI CITY
1210,Poblacion,METRO MANILA,MAKATI CITY
1211,Guadalupe Viejo (Inc. Palm Village),METRO MANILA,MAKATI CITY
1212,Guadalupe Nuevo (Inc. Visayan Village),METRO MANILA,MAKATI CITY
1213,Pinagkaisahan-pitogo,METRO MANILA,MAKATI CITY
1214,Cembo,METRO MANILA,MAKATI CITY
1215,Rembo(west),METRO MANILA,MAKATI CITY
1216,Rembo (East) & Malapad Na Bato,METRO MANILA,MAKATI CITY
1217,Comembo,METRO MANILA,MAKATI CITY
1218,Pembo,METRO MANILA,MAKATI CITY
1219,Forbes Park North,METRO MANILA,MAKATI CITY
1220,Forbes Park South,METRO MANILA,MAKATI CITY
1221,Dasmarinas Village North,METRO MANILA,MAKATI CITY
1222,Dasmarinas Village South,METRO MANILA,MAKATI CITY
1223,San Lorenzo Village,METRO MANILA,MAKATI CITY
1224,Makati Commercial Center,METRO MANILA,MAKATI CITY
1225,Urdaneta Village,METRO MANILA,MAKATI CITY
1226,Ayala-Paseo De Roxas,METRO MANILA,MAKATI CITY
1227,Salcedo Village,METRO MANILA,MAKATI CITY
1228,Greenbelt,METRO MANILA,MAKATI CITY
1229,Legaspi Village,METRO MANILA,MAKATI CITY
1230,Pio Del Pilar,METRO MANILA,MAKATI CITY
1231,"Pasong Tamo 2000 Up, Ecology Village",METRO MANILA,MAKATI CITY
1232,Magallanes Village,METRO MANILA,MAKATI CITY
1233,Bangkal,METRO MANILA,MAKATI CITY
1234,San Isidro,METRO MANILA,MAKATI CITY
1235,Palanan,METRO MANILA,MAKATI CITY
1300,Pasay City CPO Malibay,METRO MANILA,PASAY CITY
1301,Domestic Airport Po,METRO MANILA,PASAY CITY
1302,San Rafael,METRO MANILA,PASAY CITY
1303,San Roque,METRO MANILA,PASAY CITY
1304,Santa Clara,METRO MANILA,PASAY CITY
1305,San Jose,METRO MANILA,PASAY CITY
1306,San Isidro,METRO MANILA,PASAY CITY
1307,PICC (Reclamation Area),METRO MANILA,PASAY CITY
1308,Manila Bay (Reclamation),METRO MANILA,PASAY CITY
1309,Villamor Airbase,METRO MANILA,PASAY CITY
1400,Caloocan City CPO,METRO MANILA,CALOOCAN CITY - SOUTH
1401,Baesa,METRO MANILA,CALOOCAN CITY - SOUTH
1402,Santa Quiteria,METRO MANILA,CALOOCAN CITY - SOUTH
1403,Grace Park East,METRO MANILA,CALOOCAN CITY - SOUTH
1404,San Jose,METRO MANILA,CALOOCAN CITY - SOUTH
1405,1st Ave. to 7th Ave. - West,METRO MANILA,CALOOCAN CITY - SOUTH
1406,Grace Park West,METRO MANILA,CALOOCAN CITY - SOUTH
1407,University Hills,METRO MANILA,CALOOCAN CITY - SOUTH
1408,Sangandaan,METRO MANILA,CALOOCAN CITY - SOUTH
1409,Kaunlaran Village,METRO MANILA,CALOOCAN CITY - SOUTH
1409,Kaunlaran Village,METRO MANILA,MALABON CITY
1409,Kaunlaran Village,METRO MANILA,NAVOTAS
1410,Maypajo,METRO MANILA,CALOOCAN CITY - SOUTH
1411,Fish Market,METRO MANILA,CALOOCAN CITY - SOUTH
1411,Fish Market,METRO MANILA,NAVOTAS
1412,Isla de Cocomo,METRO MANILA,CALOOCAN CITY - SOUTH
1412,Isla De Cocomo,METRO MANILA,NAVOTAS
1413,Kapitbahayan East,METRO MANILA,CALOOCAN CITY - SOUTH
1413,Kapitbahayan East,METRO MANILA,NAVOTAS
1420,Kaybiga/Deparo,METRO MANILA,CALOOCAN CITY - NORTH
1421,Bagumbong / Pag-asa,METRO MANILA,CALOOCAN CITY - NORTH
1422,Novaliches North (Camarin North),METRO MANILA,CALOOCAN CITY - NORTH
1423,Lilles Ville Subdivision,METRO MANILA,CALOOCAN CITY - NORTH
1424,Capitol Parkland Subdivision,METRO MANILA,CALOOCAN CITY - NORTH
1425,Amparo Subdivision,METRO MANILA,CALOOCAN CITY - NORTH
1426,Bankers Village,METRO MANILA,CALOOCAN CITY - NORTH
1427,Tala Leprosarium,METRO MANILA,CALOOCAN CITY - NORTH
1427,Victory Heights,METRO MANILA,CALOOCAN CITY - NORTH
1428,Bagong Silang,METRO MANILA,CALOOCAN CITY - NORTH
1440,Valenzuela CPO - Malinta,METRO MANILA,VALENZUELA CITY
1441,Karuhatan,METRO MANILA,VALENZUELA CITY
1442,Fortune Vil. - Paso De Blas - Gen. T. De Leon,METRO MANILA,VALENZUELA CITY
1443,Dalandan - West Canumay,METRO MANILA,VALENZUELA CITY
1444,Arkong Bato-Rincon-Pasolo-Malanday-Mabolo-Polo,METRO MANILA,VALENZUELA CITY
1445,Balangkas-Caloong,METRO MANILA,VALENZUELA CITY
1446,Lingunan,METRO MANILA,VALENZUELA CITY
1447,East Canumay - Lawang Bato Punturin,METRO MANILA,VALENZUELA CITY
1448,Mapulang Lupa,METRO MANILA,VALENZUELA CITY
1469,Valenzuela P.O. Boxes,METRO MANILA,VALENZUELA CITY
1470,Malabon,METRO MANILA,MALABON CITY
1471,Flores,METRO MANILA,MALABON CITY
1472,Longos,METRO MANILA,MALABON CITY
1473,Tonsuya,METRO MANILA,MALABON CITY
1474,Acacia,METRO MANILA,MALABON CITY
1475,Potrero,METRO MANILA,MALABON CITY
1476,Araneta Subdivision,METRO MANILA,MALABON CITY
1477,Maysilo,METRO MANILA,MALABON CITY
1478,Santolan,METRO MANILA,MALABON CITY
1479,Muzon,METRO MANILA,MALABON CITY
1480,Dampalit,METRO MANILA,MALABON CITY
1485,Navotas,METRO MANILA,NAVOTAS
1489,Tangos,METRO MANILA,NAVOTAS
1490,Tanza,METRO MANILA,NAVOTAS
1500,San Juan CPO,METRO MANILA,SAN JUAN CITY
1502,Greenhills PO,METRO MANILA,SAN JUAN CITY
1503,Greenhills North,METRO MANILA,SAN JUAN CITY
1504,Eisenhower-Crame,METRO MANILA,SAN JUAN CITY
1550,Mandaluyong CPO,METRO MANILA,MANDALUYONG CITY
1551,Vergara,METRO MANILA,MANDALUYONG CITY
1552,Shaw Boulevard,METRO MANILA,MANDALUYONG CITY
1553,Phil. Natl. Mental Hospital,METRO MANILA,MANDALUYONG CITY
1554,East Edsa,METRO MANILA,MANDALUYONG CITY
1555,Wack Wack Golf,METRO MANILA,MANDALUYONG CITY
1556,Greenhills South,METRO MANILA,MANDALUYONG CITY
1600,Pasig CPO,METRO MANILA,PASIG CITY
1601,San Joaquin,METRO MANILA,PASIG CITY
1602,Pinagbuhatan,METRO MANILA,PASIG CITY
1603,Kapitolyo,METRO MANILA,PASIG CITY
1604,Ugong,METRO MANILA,PASIG CITY
1605,Ortigas PO,METRO MANILA,PASIG CITY
1606,Caniogan,METRO MANILA,PASIG CITY
1607,Maybunga,METRO MANILA,PASIG CITY
1608,Sta. Lucia,METRO MANILA,PASIG CITY
1609,Rosario,METRO MANILA,PASIG CITY
1610,Santolan,METRO MANILA,PASIG CITY
1611,Manggahan,METRO MANILA,PASIG CITY
1612,Green Park,METRO MANILA,PASIG CITY
1620,Aguho,METRO MANILA,PATEROS
1621,Sta. Ana,METRO MANILA,PATEROS
1630,Bicutan Western,METRO MANILA,TAGUIG CITY
1631,Bicutan,METRO MANILA,TAGUIG CITY
1632,Bicutan Lower,METRO MANILA,TAGUIG CITY
1633,Bicutan Upper,METRO MANILA,TAGUIG CITY
1634,Nichols - Mckinley,METRO MANILA,TAGUIG CITY
1635,Bonifacio Global City,METRO MANILA,TAGUIG CITY
1636,Bay Breeze Exec. Village,METRO MANILA,TAGUIG CITY
1637,Tuktukan,METRO MANILA,TAGUIG CITY
1638,Ligid,METRO MANILA,TAGUIG CITY
1639,Ususan,METRO MANILA,TAGUIG CITY
1700,Parañaque Cpo,METRO MANILA,PARAÑAQUE
1701,Tambo,METRO MANILA,PARAÑAQUE
1702,Baclaran,METRO MANILA,PARAÑAQUE
1703,Marina Subd. (Reclamation),METRO MANILA,PARAÑAQUE
1704,Sto. Nino,METRO MANILA,PARAÑAQUE
1705,Ninoy Aquino Int’l. Airport,METRO MANILA,PARAÑAQUE
1706,Pulo,METRO MANILA,PARAÑAQUE
1707,San Antonio Valley 11 & 12,METRO MANILA,PARAÑAQUE
1708,Multinational Village,METRO MANILA,PARAÑAQUE
1709,Merville Park,METRO MANILA,PARAÑAQUE
1709,Moonwalk,METRO MANILA,PARAÑAQUE
1709,South Admiral Village,METRO MANILA,PARAÑAQUE
1710,Executive Heights Subd.,METRO MANILA,PARAÑAQUE
1711,Better Living Subdivision,METRO MANILA,PARAÑAQUE
1712,Miramar Subdivision,METRO MANILA,PARAÑAQUE
1713,United Subd.,METRO MANILA,PARAÑAQUE
1714,Aeropark Subdivision,METRO MANILA,PARAÑAQUE
1714,Ireneville Ii,METRO MANILA,PARAÑAQUE
1715,San Antonio Valley I,METRO MANILA,PARAÑAQUE
1716,Maywood Village Ii,METRO MANILA,PARAÑAQUE
1717,Manila Memorial Park,METRO MANILA,PARAÑAQUE
